"id","model_id","met_name","met_id","formula","charge","compartment","bound","constraint_sense","used_","comment_","lower_bound","upper_bound","balanced","fixed"
103,"140407_iDM2014","dGTP","dgtp_c","C10H12N5O13P3",-4,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
104,"140407_iDM2014","L-Histidine","his_DASH_L_c","C6H9N3O2",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
105,"140407_iDM2014","Phosphate","pi_c","HO4P",-2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
106,"140407_iDM2014","5-Methyltetrahydrofolate","5mthf_c","C20H24N7O6",-1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
107,"140407_iDM2014","dTTP","dttp_c","C10H13N2O14P3",-4,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
108,"140407_iDM2014","Diphosphate","ppi_c","HO7P2",-3,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
109,"140407_iDM2014","core oligosaccharide lipid A","colipa_e","C176H303N2O100P4",-11,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
110,"140407_iDM2014","5,6,7,8-Tetrahydrofolate","thf_c","C19H21N7O6",-2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
111,"140407_iDM2014","5-Methylthio-D-ribose","5mtr_e","C6H12O4S",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
112,"140407_iDM2014","Acetate","ac_e","C2H3O2",-1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
113,"140407_iDM2014","CO2","co2_e","CO2",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
114,"140407_iDM2014","Ethanol","etoh_e","C2H6O",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
115,"140407_iDM2014","Formate","for_e","CHO2",-1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
116,"140407_iDM2014","Fumarate","fum_e","C4H2O4",-2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
117,"140407_iDM2014","H+","h_e","H",1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
118,"140407_iDM2014","H2O","h2o_e","H2O",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
120,"140407_iDM2014","Methanol","meoh_e","CH4O",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
