"q1_mass","q3_mass","ms3_mass","met_name","dp","ep","ce","cxp","af","quantifier","ms_mode","ion_intensity_rank","ion_abundance","precursor_formula","product_ion_reference","product_formula","production_ion_notes","met_id","external_reference","q1_mass_units","q3_mass_units","ms3_mass_units","threshold_units","dp_units","ep_units","ce_units","cxp_units","af_units","ms_group","threshold","dwell_weight","component_name","ms_include","ms_is","precursor_fragment","product_fragment","precursor_exactmass","product_exactmass","ms_methodtype","id","precursor_fragment_elements","product_fragment_elements"
"113.885","44",NULL,"Creatinine","50","10","21","10",NULL,NULL,"+",1,NULL,NULL,NULL,NULL,NULL,"crtn",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","crtn","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",87,NULL,NULL
"113.885","73",NULL,"Creatinine","30","10","13","10",NULL,NULL,"+",2,NULL,NULL,NULL,NULL,NULL,"crtn",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","crtn","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",88,NULL,NULL
"111.796","63.8",NULL,"Creatinine","-200","-10","-60","-9",NULL,NULL,"-",2,NULL,NULL,NULL,NULL,NULL,"crtn",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","crtn","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",89,NULL,NULL
"111.796","79.9",NULL,"Creatinine","-200","-10","-20","-9",NULL,NULL,"-",1,NULL,NULL,NULL,NULL,NULL,"crtn",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","crtn","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",90,NULL,NULL
"117","136",NULL,"L-Citrulline","12.4","8","9","7",NULL,NULL,"+",1,NULL,"C6H14N3O3+",NULL,NULL,NULL,"citr-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","citr-L","5000","1",NULL,False,False,NULL,NULL,"176.1035163",NULL,"tuning",92,NULL,NULL
"179","59",NULL,"D-Fructose","-36.2","-10","-23.1","-5.8",NULL,NULL,"-",1,"340000",NULL,"Beuscher 2010",NULL,NULL,"fru",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","fru","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",93,NULL,NULL
"140","63",NULL,"Ethanolamine phosphate","-38","-10","-80.1","-5.2",NULL,NULL,"-",2,"11000",NULL,NULL,NULL,NULL,"ethamp",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","ethamp","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",94,NULL,NULL
"265","97",NULL,"3-Phospho-D-glyceroyl phosphate","-66.4","-10","-38.68","-6.29",NULL,NULL,"-",NULL,"620000","C3H7O10P2-",NULL,"H2O4P-",NULL,"23dpg",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","23dpg","5000","1",NULL,False,False,"{t,t,t}","{f,f,f}","264.9514445",NULL,"tuning",95,"{C,C,C}","{C,C,C}"
"179","135","91","D-Fructose","-39.9","-10","-16.9","-9","0.3",NULL,"-",5,"98000",NULL,NULL,NULL,NULL,"fru",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","fru","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",96,NULL,NULL
"117","100",NULL,"2-Hydroxy-3-methylbutyric acid","-107.8","-10","-28.7","-11.7",NULL,NULL,"-",2,"190000","C5H9O3-",NULL,NULL,NULL,"2h3mb","HMDB00407","Da","Da","Da","count","volts","volts","volts","volts","volts","2h3mb","5000","1",NULL,False,False,NULL,NULL,"117.0551692",NULL,"tuning",97,NULL,NULL
"131","45",NULL,"2-Hydroxy-3-methylpentanoic acid","-49.9","-10","-18.1","-4.5",NULL,NULL,"-",2,"110000","C6H11O3-",NULL,"CHO2",NULL,"2h3mv","HMDB00317","Da","Da","Da","count","volts","volts","volts","volts","volts","2h3mv","5000","1",NULL,False,False,NULL,NULL,"131.0708192",NULL,"tuning",98,NULL,NULL
"131","69",NULL,"2-Hydroxy-3-methylpentanoic acid","-57.9","-10","-26.3","-10.8",NULL,NULL,"-",3,"95000","C6H11O3-",NULL,NULL,NULL,"2h3mv","HMDB00317","Da","Da","Da","count","volts","volts","volts","volts","volts","2h3mv","5000","1",NULL,False,False,NULL,NULL,"131.0708192",NULL,"tuning",99,NULL,NULL
"102","45",NULL,"4-Aminobutanoate","-25.9","-10","-21.8","-5.2",NULL,NULL,"-",2,"180000","C4H8NO2",NULL,"CHO2-",NULL,"4abut",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","4abut","5000","1",NULL,False,False,"{t,t,t,t}","{t,f,f,f}",NULL,NULL,"tuning",100,"{C,C,C,C}","{C,C,C,C}"
"131","85",NULL,"2-Hydroxy-3-methylpentanoic acid","-50.1","-10","-17.8","-11.9",NULL,NULL,"-",1,"2400000","C6H11O3-",NULL,"C5H9O-",NULL,"2h3mv","HMDB00317","Da","Da","Da","count","volts","volts","volts","volts","volts","2h3mv","5000","1",NULL,False,False,NULL,NULL,"131.0708192",NULL,"tuning",101,NULL,NULL
"131","69",NULL,"Hydroxyisocaproic acid","-65.5","-10","-28.3","-9.1",NULL,NULL,"-",2,"620000","C6H11O3-",NULL,"C5H9-","Could also be C4H5O- or C3HO2-","2hic","HMDB00746","Da","Da","Da","count","volts","volts","volts","volts","volts","2hic","5000","1",NULL,False,False,NULL,NULL,"131.0708192",NULL,"tuning",102,NULL,NULL
"346","152",NULL,"3',5'-Cyclic GMP","66.7","3","26","7.8",NULL,NULL,"+",1,"170000","C10H13N5O7P+",NULL,NULL,NULL,"35cgmp",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","35cgmp","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",13,NULL,NULL
"190","127",NULL,"L-Homocitrulline","32.9","10","21.3","6.29",NULL,NULL,"+",1,"720000",NULL,NULL,NULL,NULL,"hcitr-L","C02427","Da","Da","Da","count","volts","volts","volts","volts","volts","hcitr-L","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",103,NULL,NULL
"204","186",NULL,"Indolelactate","-84.1","-10","-20.3","-12.1",NULL,NULL,"-",2,"1100000",NULL,NULL,NULL,NULL,"indlac","C02043","Da","Da","Da","count","volts","volts","volts","volts","volts","indlac","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",303,NULL,NULL
"265","167",NULL,"3-Phospho-D-glyceroyl phosphate","-48.2","-10","-18.32","-11.23",NULL,1,"-",NULL,"2500000","C3H7O10P2-",NULL,"C3H4O6P-",NULL,"23dpg",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","23dpg","5000","1",NULL,True,True,"{t,t,t}","{t,t,t}","264.9514445",NULL,"tuning",104,"{C,C,C}","{C,C,C}"
"179","71",NULL,"D-Fructose","-39.9","-10","-20.3","-6.9",NULL,NULL,"-",3,"140000",NULL,NULL,NULL,NULL,"fru",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","fru","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",105,NULL,NULL
"179","89",NULL,"D-Fructose","-37.4","-10","-12.9","-6.7",NULL,NULL,"-",2,"400000",NULL,NULL,NULL,NULL,"fru",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","fru","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",106,NULL,NULL
"330","177",NULL,"dAMP","-55.3","-10","-26.7","-11.5",NULL,NULL,"-",4,"65000","C10H13N5O6P-",NULL,"H3O7P2-","di-phosphate","damp",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","damp","5000","1",NULL,False,False,"{t,t,t,t,t,t,t,t,t,t}","{f,f,f,f,f,f,f,f,f,f}","330.0603447",NULL,"tuning",107,"{C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C}"
"444","110",NULL,"GDP","36.4","10","85.7","16.7",NULL,NULL,"+",NULL,"310000","C10H16N5O11P2+",NULL,NULL,NULL,"gdp",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","gdp","5000","1",NULL,False,False,NULL,NULL,"444.0321544",NULL,"tuning",109,NULL,NULL
"256.935","42",NULL,"5-Aminoimidazole-4-carboxamide riboside","-100","-10","-68","-7",NULL,NULL,"-",2,NULL,"C9H13N4O5-",NULL,"CNO-",NULL,"AICAr","17513","Da","Da","Da","count","volts","volts","volts","volts","volts","AICAr","5000","1",NULL,False,False,"{t,t,t,t,t,t,t,t,t}",NULL,"257.0885945",NULL,"tuning",110,"{C,C,C,C,C,C,C,C,C}",NULL
