sample_name_abbreviation,component_group_name,component_name,calculated_concentration_units,var,ci_level,max,test_stat,median,used_,ci_lb,iq_1,cv,min,n,iq_3,ci_ub,mean,pvalue_corrected,index_
EColi_BL21,hxan,hxan.hxan_1.Light,umol*gDW-1,5.51E-08,0.95,0.001312954,10.78892674,0.001021923,TRUE,0.000787628,0.000907443,22.70373878,0.000695016,6,0.001217598,0.001280346,0.001033987,0.000118644,108
EColi_BL21,icit,icit.icit_2.Light,umol*gDW-1,0.000460395,0.95,0.138074123,12.5325724,0.107556017,TRUE,0.087264146,0.096083087,19.54498776,0.082056218,6,0.125280774,0.132299247,0.109781696,5.74017E-05,109
EColi_BL21,imp,imp.imp_1.Light,umol*gDW-1,0.030670823,0.95,0.691778786,5.737444605,0.355024382,TRUE,0.226420807,0.286857145,42.69304388,0.242591906,6,0.5032827,0.593997969,0.410209388,0.002253291,112
EColi_BL21,ins,ins.ins_1.Light,umol*gDW-1,9.88827E-05,0.95,0.055220854,9.846862722,0.037387467,TRUE,0.029538879,0.033091553,24.87583926,0.029313547,6,0.046005179,0.05041001,0.039974445,0.00018407,114
EColi_BL21,itp,itp.itp_1.Light,umol*gDW-1,0.074083319,0.95,1.633305646,11.40956452,1.206905366,TRUE,0.982170471,1.075704367,21.46874,0.959931966,6,1.4776003,1.553446525,1.267808498,9.05446E-05,116
EColi_BL21,lac-D,lac-D.lac-D_1.Light,umol*gDW-1,0.914086878,0.95,3.709247088,5.533007847,1.660980644,TRUE,1.156286951,1.562663101,44.27049103,1.377657321,6,2.679513988,3.162973511,2.159630231,0.002644659,118
EColi_BL21,Lcystin,Lcystin.Lcystin_1.Light,umol*gDW-1,0.00258963,0.95,0.493040558,21.60196726,0.458186922,TRUE,0.395379,0.441952239,11.33919755,0.354828928,6,0.483482688,0.502187207,0.448783103,3.94382E-06,119
EColi_BL21,mal-L,mal-L.mal-L_1.Light,umol*gDW-1,0.003978355,0.95,0.651853308,21.35684399,0.541659426,TRUE,0.483745028,0.521441263,11.46934324,0.465417738,6,0.573664068,0.616129658,0.549937343,4.17321E-06,122
EColi_BL21,malcoa,malcoa.malcoa_1.Light,height_ratio,0.008651466,0.95,0.51407878,10.51913814,0.379775652,TRUE,0.301826582,0.324719578,23.28603076,0.303459909,6,0.479821794,0.497049437,0.399438009,0.000134043,123
EColi_BL21,,mar_ak,ratio,111.6210836,0.95,66.85800998,12.09106719,54.26210666,TRUE,41.06355845,44.59900542,20.25867282,38.15839597,6,57.05580576,63.23831813,52.15093829,6.83388E-05,124
EColi_BL21,,mar_ak_denominator,ratio,0.070910806,0.95,1.388801252,9.580270128,0.928601011,TRUE,0.762042672,0.846128985,25.56806551,0.810618634,6,1.262445004,1.320952846,1.041497759,0.000209898,125
EColi_BL21,,mar_ak_numerator,ratio,327.8207006,0.95,77.99736662,7.39093118,54.14395417,TRUE,35.630431,42.32412523,33.14182859,31.42259603,6,67.30790344,73.63221559,54.6313233,0.000713161,126
EColi_BL21,,mar_fum,ratio,1.634552721,0.95,6.433721015,7.676229644,3.763264564,TRUE,2.66486182,3.151797894,31.91006336,2.970940105,6,4.06096789,5.34826093,4.006561375,0.000597957,127
EColi_BL21,,mar_fum_denominator,ratio,0.003978355,0.95,0.651853308,21.35684399,0.541659426,TRUE,0.483745028,0.521441263,11.46934324,0.465417738,6,0.573664068,0.616129658,0.549937343,4.17321E-06,128
EColi_BL21,,mar_fum_numerator,ratio,0.401638395,0.95,3.324505342,8.445711484,2.10443602,TRUE,1.520055485,1.993887961,29.00276368,1.382728224,6,2.204357307,2.850214053,2.185134769,0.000381949,129
EColi_BL21,,mar_pgi,ratio,0.315752274,0.95,2.418430817,5.719430553,1.134122084,TRUE,0.722352889,1.045203927,42.82751089,0.858561552,6,1.267155031,1.901747253,1.312050071,0.002284906,130
EColi_BL21,,mar_pgi_denominator,ratio,0.315752274,0.95,2.418430817,5.719430553,1.134122084,TRUE,0.722352889,1.045203927,42.82751089,0.858561552,6,1.267155031,1.901747253,1.312050071,0.002284906,131
EColi_BL21,,mar_pgi_numerator,ratio,0.315752274,0.95,2.418430817,5.719430553,1.134122084,TRUE,0.722352889,1.045203927,42.82751089,0.858561552,6,1.267155031,1.901747253,1.312050071,0.002284906,132
EColi_BL21,,mar_pgm_eno,ratio,0.000151924,0.95,0.103555126,17.536467,0.08515361,TRUE,0.075307763,0.081923567,13.96797737,0.072213095,6,0.098189405,0.101177903,0.088242833,1.10555E-05,133
EColi_BL21,,mar_pgm_eno_denominator,ratio,0.220107385,0.95,5.627417806,25.87705161,5.005461308,TRUE,4.463938248,4.645173744,9.465876485,4.324403621,6,5.188791782,5.448636376,4.956287312,1.60993E-06,134
EColi_BL21,,mar_pgm_eno_numerator,ratio,0.003931062,0.95,0.53037674,17.02858656,0.427423594,TRUE,0.370073242,0.38537538,14.38457463,0.370145717,6,0.473228454,0.501668656,0.435870949,1.2779E-05,135
EColi_BL21,met-L,met-L.met-L_1.Light,umol*gDW-1,0.004327842,0.95,0.373982726,9.536695073,0.239884418,TRUE,0.187090005,0.209144836,25.68489109,0.199862825,6,0.273164959,0.325167051,0.256128528,0.000214519,136
EColi_BL21,mmal,mmal.mmal_1.Light,umol*gDW-1,0.000112694,0.95,0.068624737,12.13538651,0.052162873,TRUE,0.041452504,0.04532683,20.18468667,0.039568365,6,0.05803415,0.063733576,0.05259304,6.71347E-05,138
EColi_BL21,,n2_ratio01,ratio,0.000328099,0.95,0.096081145,9.990647649,0.073947535,TRUE,0.05486996,0.060434178,24.51782736,0.050916945,6,0.087824853,0.092887877,0.073878919,0.000171716,140
EColi_BL21,,n2_ratio01_denominator,ratio,58.63276129,0.95,65.19305446,18.04632089,58.06697879,TRUE,48.37778129,50.31305509,13.57334693,46.31057791,6,61.85309654,64.44926524,56.41352326,9.59793E-06,141
EColi_BL21,,n2_ratio01_numerator,ratio,1.154415512,0.95,5.591933569,9.465218649,4.437701299,TRUE,3.024244125,3.367544861,25.87885007,2.720900002,6,4.643214807,5.279349717,4.151796921,0.000222365,142
EColi_BL21,,n2_ratio02,ratio,456.0179358,0.95,70.03123057,4.06409478,31.36283481,TRUE,13.02040005,19.25445071,60.27147189,13.8128401,6,45.93760294,57.84090727,35.43065366,0.009690023,143
EColi_BL21,,n2_ratio02_denominator,ratio,1.455866456,0.95,3.620140742,4.360666194,1.975317645,TRUE,0.881776748,1.147687893,56.17237445,0.860172583,6,3.182842054,3.414259958,2.148018353,0.007285694,144
EColi_BL21,,n2_ratio02_numerator,ratio,58.63276129,0.95,65.19305446,18.04632089,58.06697879,TRUE,48.37778129,50.31305509,13.57334693,46.31057791,6,61.85309654,64.44926524,56.41352326,9.59793E-06,145
EColi_BL21,,n2_ratio03,ratio,0.701441595,0.95,3.565776328,6.746048048,2.267969798,TRUE,1.427661035,1.680098093,36.3099955,1.327153498,6,2.761869613,3.18551002,2.306585527,0.001086138,146
EColi_BL21,,n2_ratio03_denominator,ratio,1.455866456,0.95,3.620140742,4.360666194,1.975317645,TRUE,0.881776748,1.147687893,56.17237445,0.860172583,6,3.182842054,3.414259958,2.148018353,0.007285694,147
EColi_BL21,,n2_ratio03_numerator,ratio,1.154415512,0.95,5.591933569,9.465218649,4.437701299,TRUE,3.024244125,3.367544861,25.87885007,2.720900002,6,4.643214807,5.279349717,4.151796921,0.000222365,148
EColi_BL21,,nad(p)_ratio,ratio,2.71359E-05,0.95,0.028012214,9.055682525,0.018667005,TRUE,0.013791547,0.015204794,27.04920072,0.014259526,6,0.021086649,0.024725009,0.019258278,0.000274515,149
